ASN,Prefix,Max prefix length
AS63998,103.61.8.0/22,22
AS63998,103.61.8.0/22,24
AS63998,103.61.8.0/22,30
AS63998,103.61.8.0/23,23
AS63998,103.61.8.0/24,24
AS63998,103.61.9.0/24,24
AS63998,103.61.10.0/23,23
AS63998,103.61.10.0/24,24
AS63998,103.61.11.0/24,24
AS63998,2403:6a80::/32,48
AS132238,103.96.76.0/22,24
AS136557,103.139.78.0/24,24
AS136557,2404:ddc0:6000::/36,36
AS135419,103.120.112.0/22,22
AS135419,103.120.112.0/24,24
AS135419,103.120.113.0/24,24
AS135419,103.120.114.0/24,24
AS135419,103.120.115.0/24,24
AS38719,103.67.234.0/23,24
AS38719,103.67.248.0/24,24
AS38719,2405:df80::/32,48
AS135132,103.52.62.0/24,24
AS64073,103.139.184.0/23,24
AS64073,103.250.88.0/22,24
AS64073,163.47.128.0/22,24
AS64073,202.179.140.0/22,24
AS132730,103.24.32.0/22,24
AS132730,103.224.28.0/22,24
AS132730,163.53.28.0/22,24
AS132730,2406:b100::/32,48
AS45532,114.130.42.0/23,24
AS55828,114.130.46.0/24,24
AS63932,114.130.54.0/23,23
AS63932,114.130.54.0/24,24
AS63932,114.130.55.0/24,24
AS63932,114.130.116.0/22,24
AS64520,114.130.92.0/22,24
AS65505,114.130.75.0/24,24
AS17806,103.248.204.0/22,24
AS17806,114.130.0.0/16,24
AS17806,114.130.0.0/17,21
AS17806,114.130.0.0/18,22
AS17806,114.130.0.0/19,24
AS17806,114.130.32.0/21,24
AS17806,114.130.40.0/23,24
AS17806,114.130.43.0/24,24
AS17806,114.130.44.0/22,24
AS17806,114.130.48.0/22,24
AS17806,114.130.52.0/23,24
AS17806,114.130.56.0/21,24
AS17806,114.130.64.0/19,24
AS17806,114.130.96.0/20,24
AS17806,114.130.112.0/22,24
AS17806,114.130.120.0/21,24
AS17806,114.130.128.0/17,17
AS17806,114.130.128.0/18,18
AS17806,114.130.136.0/24,24
AS17806,114.130.139.0/24,24
AS17806,114.130.140.0/24,24
AS17806,114.130.192.0/19,19
AS17806,114.130.224.0/20,20
AS17806,114.130.240.0/21,21
AS17806,2403:ec00::/32,32
AS17806,2403:ec00:c::/48,48
AS17806,2403:ec00:34::/48,48
AS17806,2403:ec00:35::/48,48
AS17806,2403:ec00:36::/48,48
AS58420,103.248.207.0/24,24
AS58420,114.130.39.0/24,24
AS58420,114.130.48.0/26,26
AS58732,114.130.248.0/21,21
AS58732,114.130.248.0/22,22
AS58732,114.130.248.0/23,23
AS58732,114.130.248.0/24,24
AS58732,114.130.249.0/24,24
AS58732,114.130.250.0/23,23
AS58732,114.130.250.0/24,24
AS58732,114.130.251.0/24,24
AS58732,114.130.252.0/22,22
AS58732,114.130.252.0/23,23
AS58732,114.130.252.0/24,24
AS58732,114.130.253.0/24,24
AS58732,114.130.254.0/23,23
AS58732,114.130.254.0/24,24
AS58732,114.130.255.0/24,24
AS137498,45.115.224.0/22,22
AS137498,45.115.224.0/23,23
AS137498,45.115.224.0/24,24
AS137498,45.115.225.0/24,24
AS137498,45.115.226.0/23,23
AS137498,45.115.226.0/24,24
AS137498,45.115.227.0/24,24
AS137498,103.56.4.0/22,22
AS137498,103.56.4.0/24,24
AS137498,103.56.5.0/24,24
AS137498,103.56.6.0/24,24
AS137498,103.56.7.0/24,24
AS137498,2400:a9c0::/32,32
AS23738,103.103.240.0/24,24
AS23738,103.103.241.0/24,24
AS23738,103.103.242.0/23,24
AS23738,2401:f9c0:1600::/40,40
AS23738,2401:f9c0:2099::/48,48
AS23738,2401:f9c0:fac0::/48,48
AS23738,2401:f9c0:fac1::/48,48
AS23738,2401:f9c0:fac2::/48,48
AS23738,2401:f9c0:fac3::/48,48
AS23738,2401:f9c0:fac4::/48,48
AS23738,2401:f9c0:fac5::/48,48
AS23738,2401:f9c0:fac6::/48,48
AS23738,2401:f9c0:fac7::/48,48
AS23738,2401:f9c0:fac8::/48,48
AS23738,2401:f9c0:fba0::/48,48
AS23738,2401:f9c0:fba1::/48,48
AS23738,2401:f9c0:fba2::/48,48
AS23738,2401:f9c0:fba3::/48,48
AS23738,2401:f9c0:fe00::/40,40
AS23738,2401:f9c0:feed::/48,48
AS133398,103.103.240.0/24,24
AS133398,103.103.241.0/24,24
AS133398,2401:f9c0:2600::/40,40
AS132383,2401:f9c0:1111::/48,48
AS63956,103.103.242.0/24,24
AS20473,103.103.240.0/24,24
AS137268,2401:f9c0:2700::/40,40
AS138365,2401:f9c0:a010::/48,48
AS138365,2401:f9c0:a011::/48,48
AS138365,2401:f9c0:a012::/48,48
AS134371,103.62.140.0/22,22
AS134371,103.62.140.0/24,24
AS134371,103.62.141.0/24,24
AS134371,103.62.142.0/24,24
AS134371,103.62.143.0/24,24
AS134371,202.136.88.0/22,22
AS134371,202.136.88.0/24,24
AS134371,202.136.89.0/24,24
AS134371,202.136.90.0/24,24
AS134371,202.136.91.0/24,24
AS134371,2400:3dc0::/32,32
AS58637,103.14.92.0/24,24
AS58637,103.14.93.0/24,24
AS58637,2001:df0:2d0::/45,45
AS58637,2001:df0:2d8::/45,45
AS59374,43.255.240.0/22,22
AS59374,43.255.240.0/24,24
AS59374,43.255.241.0/24,24
AS59374,43.255.242.0/24,24
AS59374,43.255.243.0/24,24
AS59374,103.233.192.0/22,22
AS59374,103.233.192.0/24,24
AS59374,103.233.193.0/24,24
AS59374,103.233.194.0/24,24
AS59374,103.233.195.0/24,24
AS59374,2401:1a80::/32,32
AS132215,59.144.191.0/24,24
AS132215,61.246.118.0/24,24
AS132215,125.16.228.0/24,24
AS132215,125.22.50.0/24,24
AS9498,59.144.0.0/15,15
AS9498,59.144.0.0/19,19
AS9498,59.144.4.0/22,22
AS9498,59.144.4.0/24,24
AS9498,59.144.6.0/24,24
AS9498,59.144.8.0/21,21
AS9498,59.144.8.0/24,24
AS9498,59.144.9.0/24,24
AS9498,59.144.10.0/24,24
AS9498,59.144.12.0/24,24
AS9498,59.144.16.0/20,20
AS9498,59.144.18.0/24,24
AS9498,59.144.19.0/24,24
AS9498,59.144.22.0/24,24
AS9498,59.144.23.0/24,24
AS9498,59.144.34.0/23,23
AS9498,59.144.34.0/24,24
AS9498,59.144.41.0/24,24
AS9498,59.144.45.0/24,24
AS9498,59.144.50.0/24,24
AS9498,59.144.52.0/24,24
AS9498,59.144.55.0/24,24
AS9498,59.144.56.0/24,24
AS9498,59.144.59.0/24,24
