ASN,Prefix,Max prefix length
AS267853,2803:3700::/32,32
AS267853,190.211.176.0/20,20
AS10697,160.238.204.0/22,24
AS265689,160.238.204.0/22,24
AS265689,2803:35c0::/32,32
AS265689,160.238.204.0/22,22
AS3549,181.224.160.0/22,22
AS264640,179.63.220.0/22,22
AS265806,181.191.186.0/23,24
AS265806,2801:1f:3000::/48,49
AS263243,190.107.85.0/24,24
AS3549,190.107.80.0/21,21
AS27947,190.107.80.0/21,21
AS3549,190.107.80.0/21,24
AS23487,190.107.84.0/24,24
AS3549,190.107.81.0/24,24
AS3549,190.107.83.0/24,24
AS27947,190.107.80.0/21,24
AS27947,2803:3c00::/32,32
AS263243,190.107.81.0/24,24
AS263243,190.107.83.0/24,24
AS263243,190.107.82.0/24,24
AS19114,190.107.81.0/24,24
AS27738,190.107.84.0/24,24
AS263243,190.107.84.0/24,24
AS52361,170.84.232.0/22,24
AS52361,2803:db40::/32,48
AS7049,170.84.232.0/22,24
AS7049,2803:db40::/32,48
AS64100,2803:db40::/48,48
AS64100,2803:db40::/32,48
AS64100,170.84.232.0/22,24
AS265884,45.71.5.0/24,24
AS265884,2801:12:b000::/48,48
AS262154,200.55.248.0/24,24
AS262154,200.55.249.0/24,24
AS262154,200.55.250.0/24,24
AS262154,200.55.251.0/24,24
AS262154,200.55.252.0/24,24
AS262154,200.55.253.0/24,24
AS262154,200.55.254.0/24,24
AS262154,200.55.255.0/24,24
AS262154,2800:c10::/32,32
AS262154,200.55.248.0/21,21
AS267776,45.171.220.0/22,22
AS265780,168.227.20.0/22,24
AS267697,45.162.192.0/22,22
AS267697,2803:91a0::/32,32
AS28107,190.124.224.0/20,20
AS28107,190.124.240.0/22,22
AS28107,2801:0:2f0::/48,48
AS393629,201.221.88.0/22,24
AS27789,190.93.0.0/19,24
AS27789,190.93.64.0/18,24
AS27789,200.12.240.0/21,24
AS27789,201.221.64.0/22,24
AS27789,201.221.69.0/24,24
AS27789,201.221.72.0/21,24
AS27789,201.221.80.0/22,24
AS27789,201.221.84.0/23,24
AS27789,201.221.93.0/24,24
AS27789,2800:70::/32,36
AS27997,2803:f820::/32,32
AS265570,2806:324::/32,32
AS269788,138.59.8.0/22,24
AS269788,2803:1f80::/32,32
AS267863,45.177.96.0/22,22
AS269831,2803:f760::/32,48
AS269831,45.187.0.0/22,24
AS265509,168.195.204.0/22,24
AS265509,2806:282::/32,48
AS269816,45.186.12.0/22,24
AS269816,2803:760::/32,48
AS52263,190.113.96.0/20,24
AS52263,190.113.112.0/20,24
AS52263,190.171.96.0/19,24
AS52263,200.105.96.0/21,24
AS52263,2803:1300::/32,64
AS52263,138.118.80.0/22,24
AS52263,170.150.56.0/22,24
AS52263,170.246.156.0/22,24
AS266783,45.235.12.0/24,24
AS266783,45.235.13.0/24,24
AS266783,45.235.14.0/24,24
AS266783,45.235.15.0/24,24
AS266783,45.235.12.0/22,22
AS266783,2803:bf20::/32,48
AS19582,200.115.32.0/20,20
AS19582,2803:8300::/32,32
AS19582,200.115.32.0/20,24
AS19582,2803:8300::/32,48
AS27813,170.238.124.0/22,24
AS27813,181.199.144.0/20,24
AS27813,190.2.96.0/19,24
AS27813,190.151.160.0/20,24
AS27813,200.3.216.0/21,24
AS27813,200.81.120.0/21,24
AS27813,2803:9f00:1::/48,48
AS263793,181.191.140.0/22,24
AS265871,45.227.62.0/23,23
AS265871,45.227.62.0/24,24
AS265871,45.227.63.0/24,24
AS265871,2803:ce20::/32,32
AS18747,2801:10:800::/48,48
AS264731,186.167.241.0/24,24
AS264731,186.167.240.0/20,24
AS264731,2800:937::/32,32
AS27717,186.167.0.0/16,23
AS27717,190.121.224.0/20,24
AS27717,200.71.240.0/21,24
AS27717,2800:930::/29,29
AS27717,186.167.240.0/24,24
AS27717,2800:930::/30,32
AS27717,2800:934::/31,32
AS27717,2800:936::/32,32
AS267756,45.170.44.0/22,26
AS267756,2803:ba0::/32,64
AS264762,200.192.106.0/24,24
AS52439,160.19.200.0/22,24
AS28319,160.19.200.0/24,24
AS28058,179.60.48.0/24,24
AS28058,179.60.48.0/23,24
AS28058,200.105.112.0/21,23
AS28058,179.60.48.0/20,24
AS28058,179.60.50.0/24,24
AS265658,2801:11:d000::/48,48
AS265658,45.4.97.0/24,24
AS52327,201.182.80.0/22,24
AS52327,2803:4420::/32,32
AS52238,190.99.72.0/24,24
AS52238,190.99.73.0/24,24
AS52238,190.99.74.0/24,24
AS52238,190.99.75.0/24,24
AS52238,190.99.76.0/24,24
AS52238,190.99.77.0/24,24
AS52238,190.99.78.0/24,24
AS52238,190.99.79.0/24,24
AS52238,190.99.72.0/22,22
AS52238,190.99.76.0/23,23
AS393676,190.93.168.0/24,24
AS262171,190.93.160.0/20,24
AS262191,200.25.22.0/24,24
AS20940,200.25.52.0/22,24
AS7195,200.25.0.0/17,24
AS7195,2800:1e0::/32,48
AS43260,45.170.252.0/22,22
AS265663,45.175.140.0/22,22
AS264668,2803:57c0::/32,48
AS264668,164.163.132.0/22,24
AS264859,200.95.184.0/22,24
AS27740,190.11.240.0/20,24
AS27740,190.108.64.0/21,24
AS27740,2800:b30::/31,32
AS52490,186.96.192.0/24,24
AS52490,186.96.193.0/24,24
AS52490,186.96.194.0/24,24
AS52490,186.96.195.0/24,24
AS52490,186.96.196.0/24,24
AS52490,186.96.197.0/24,24
AS52490,186.96.198.0/24,24
AS52490,186.96.199.0/24,24
AS52490,2803:2000::/32,32
AS265648,170.246.176.0/22,22
AS265656,170.246.172.0/22,22
AS265524,131.196.248.0/22,24
AS265524,192.141.124.0/22,24
AS265524,170.80.28.0/22,24
AS265524,181.191.244.0/22,24
AS265524,181.191.248.0/22,24
AS265524,181.191.252.0/22,24
AS265524,201.182.20.0/22,24
AS265524,2806:2eb::/32,48
AS265524,2806:286::/32,48
AS263235,192.100.186.0/23,24
AS263235,2801:1a8::/40,48
AS3356,45.163.31.0/24,24
AS3549,45.169.140.0/22,22
AS3549,2803:e3a0::/32,32
AS267831,45.173.200.0/22,24
AS52454,201.222.60.0/22,22
AS52454,2803:6300::/32,32
AS28017,2001:13c7:6005::/48,56
AS28017,200.0.21.0/24,25
AS28017,200.0.20.0/23,25
AS28017,2001:13c7:6004::/47,56
AS52468,2803:4580:8210::/44,48
AS61462,200.229.146.0/24,24
AS52476,186.179.64.0/24,24
AS52468,200.229.145.0/24,24
AS52468,200.229.144.0/24,24
AS52468,200.229.147.0/24,24
AS52468,186.179.65.0/24,24
AS52468,186.179.66.0/23,24
AS52468,186.179.68.0/22,24
AS52468,186.179.72.0/22,24
AS52468,186.179.76.0/22,24
AS52262,186.2.129.0/24,24
AS52262,186.2.131.0/24,24
AS52262,186.2.132.0/22,24
AS52262,186.2.136.0/21,24
AS52262,186.2.144.0/20,24
AS52262,2803:8d43::/32,32
AS27839,132.251.224.0/19,24
AS27839,181.114.64.0/19,24
AS27839,181.177.128.0/18,24
AS27839,190.11.64.0/19,24
AS27839,190.106.240.0/20,24
AS27839,190.107.32.0/19,24
AS27839,200.58.64.0/19,24
AS27839,201.150.160.0/19,24
AS27839,2803:9400::/32,49
AS5722,168.176.0.0/16,24
AS22726,200.35.0.0/19,25
AS27738,191.99.0.0/16,24
AS27738,191.99.0.0/16,16
AS27738,190.130.128.0/17,24
AS27738,190.131.0.0/18,24
AS27738,190.131.64.0/18,24
AS27738,190.131.128.0/18,24
AS27738,191.99.0.0/16,21
AS27738,200.124.224.0/20,28
AS27738,200.124.240.0/20,24
AS27738,201.183.0.0/16,24
AS27738,2800:440::/32,48
AS10617,200.69.42.0/24,24
AS10617,200.81.189.0/24,24
AS10617,200.69.32.0/21,23
AS10617,200.69.40.0/23,23
AS10617,200.69.43.0/24,24
AS10617,200.69.44.0/22,23
AS10617,200.69.49.0/24,24
AS10617,200.69.50.0/23,23
AS10617,200.69.53.0/24,24
AS10617,200.69.54.0/23,24
AS10617,200.69.60.0/22,24
AS10617,200.81.160.0/20,24
AS10617,200.81.176.0/21,23
AS10617,200.81.184.0/22,23
AS10617,200.81.188.0/24,24
AS10617,200.81.190.0/23,24
AS28094,2803:7900::/32,64
AS28094,131.161.148.0/22,22
AS28094,200.123.208.0/21,21
AS28094,2803:7900::/32,34
AS263824,2803:9a40::/32,48
AS263824,138.185.76.0/22,24
AS263824,170.254.16.0/22,24
AS263242,200.12.248.0/21,24
AS263242,2803:1180::/32,48
AS266882,201.148.232.0/22,24
AS266882,2803:5580::/32,64
AS27960,179.60.96.0/20,21
AS27960,190.122.32.0/20,21
AS27960,190.122.48.0/20,21
AS27960,200.49.120.0/21,21
AS263245,190.107.232.0/21,24
AS263245,190.107.232.0/24,24
AS263245,190.107.233.0/24,24
AS263245,190.107.234.0/24,24
AS263245,190.107.235.0/24,24
AS263245,190.107.236.0/24,24
AS263245,190.107.237.0/24,24
AS263245,190.107.238.0/24,24
AS263245,2803:d180::/32,48
AS263245,2803:d180::/32,32
AS52477,179.49.120.0/21,24
AS52477,191.102.244.0/22,24
AS52494,179.0.154.0/24,24
AS52494,179.0.152.0/23,24
AS263799,168.195.216.0/22,22
AS278,132.247.58.0/24,24
AS278,132.248.109.0/24,24
AS278,132.248.185.0/24,24
AS278,2001:1218:6011::/48,48
AS278,132.248.32.0/24,24
AS278,132.248.184.0/25,25
AS278,132.247.180.0/24,24
AS278,2001:1218:104::/48,48
AS278,2001:1218:6002::/48,48
AS278,132.247.96.0/24,24
AS278,132.247.61.0/24,24
AS278,132.248.223.0/24,24
AS278,132.247.81.0/24,24
AS278,132.247.95.0/24,24
AS278,2001:1218:6015::/48,48
AS278,132.248.33.0/24,24
AS278,132.247.30.0/24,24
AS278,132.247.23.0/24,24
AS278,2001:1218:600f::/48,48
AS278,132.247.82.0/24,24
AS278,132.248.24.0/24,24
AS278,2001:1218:6009::/48,48
AS278,132.247.17.0/24,24
AS278,132.247.170.0/24,24
AS278,132.248.35.0/24,24
AS278,132.248.10.0/24,24
AS278,132.247.178.0/24,24
AS278,2001:1218:600c::/48,48
AS278,132.248.207.0/24,24
AS278,132.248.239.0/24,24
AS278,132.248.79.0/24,24
AS278,132.247.102.0/24,24
AS278,132.248.162.0/24,24
AS278,2001:1218:6006::/48,48
AS278,132.247.143.0/24,24
AS278,132.247.197.0/24,24
AS278,2001:1218:6007::/48,48
AS278,132.248.92.0/24,24
AS278,132.247.171.0/24,24
AS278,132.247.158.0/24,24
AS278,132.247.172.0/24,24
AS278,132.247.99.0/24,24
AS278,132.247.76.0/24,24
AS278,132.248.102.0/24,24
AS278,132.248.180.0/24,24
AS278,132.247.146.0/24,24
AS278,132.248.75.0/24,24
AS278,132.248.216.0/24,24
AS278,132.247.0.0/17,17
AS278,132.248.0.0/17,17
AS278,132.248.100.0/24,24
AS278,2001:1218:600d::/48,48
AS278,132.248.184.0/24,24
AS278,132.248.149.0/24,24
AS278,132.248.191.0/24,24
AS278,2001:1218:6018::/48,48
AS278,2001:1218:6012::/48,48
AS278,132.247.224.0/24,24
AS278,132.248.29.0/24,24
AS278,132.248.143.0/24,24
AS278,132.247.166.0/24,24
AS278,132.247.228.0/24,24
AS278,2001:1218:6017::/48,48
AS278,132.248.158.0/24,24
AS278,132.248.81.0/24,24
AS278,132.247.155.0/24,24
AS278,132.247.12.0/24,24
AS278,132.248.157.0/24,24
AS278,192.100.200.0/24,24
AS278,132.247.106.0/24,24
AS278,2001:1218:6019::/48,48
AS278,2001:1218:5001::/48,48
AS278,132.247.101.0/24,24
AS278,132.248.60.0/24,24
AS278,132.248.193.0/24,24
